gen,best,mean,std
0,91.993561,48.19377,31.732036
1,91.993561,52.144264,31.779702
2,91.993561,60.760611,30.110886
3,91.993561,53.100319,30.202944
4,91.993561,61.146653,28.784882
5,91.993561,57.868321,30.297457
6,91.993561,62.786391,30.00908
7,91.993561,67.659665,28.894145
8,91.993561,68.435504,28.834877
9,91.993561,72.401042,26.156784
10,91.993561,73.130459,26.886988
11,91.993561,73.088335,26.610405
12,91.993561,78.173876,23.042746
13,91.993561,77.753098,22.634405
14,91.993561,81.338976,18.057738
15,91.993561,82.603812,16.211104
16,91.993561,84.12945,13.668504
17,91.993561,85.066448,11.490507
18,91.993561,84.571784,12.615993
19,91.993561,84.483521,12.587822
20,91.993561,84.39885,13.011409
21,91.993561,83.897095,14.418429
22,91.993561,85.250555,11.301016
23,91.993561,85.917245,9.265936
24,91.993561,86.612322,6.628843
25,91.993561,85.954438,9.27172
26,91.993561,87.276438,0.475708
27,91.993561,87.066167,2.168078
28,91.993561,87.245722,0.55885
29,91.993561,87.321525,0.723811
30,91.993561,86.31701,7.67597
31,91.993561,86.285093,7.677339
32,91.993561,86.289424,7.665453
33,91.993561,86.648588,6.622607
34,91.993561,87.276438,0.475708
35,91.993561,86.615061,6.601662
36,91.993561,86.705258,5.712918
37,91.993561,86.045849,8.668349
38,91.993561,87.281838,0.474216
39,91.993561,86.621111,6.595636
40,91.993561,86.619311,6.595492
41,91.993561,85.958881,9.266288
42,91.993561,86.614208,6.592112
43,91.993561,86.140915,8.117922
44,91.993561,87.283638,0.473704
45,91.993561,87.281838,0.474216
46,91.993561,87.280038,0.474721
47,91.993561,86.623452,6.590414
48,91.993561,86.623452,6.590414
49,91.993561,86.623452,6.590414
