gen,best,mean,std
0,91.993561,27.593335,35.621488
1,91.993561,36.805713,38.396552
2,91.993561,47.341461,37.373948
3,91.993561,57.423499,36.269982
4,91.993561,68.808339,30.752002
5,91.993561,73.145103,28.50363
6,91.993561,75.126087,28.321802
7,91.993561,77.278647,25.063735
8,91.993561,78.346247,24.10664
9,91.993561,81.547635,19.191643
10,91.993561,79.528514,24.299409
11,91.993561,81.517347,21.840777
12,91.993561,83.992724,15.696945
13,91.993561,86.260399,9.222204
14,91.993561,86.290499,6.904171
15,91.993561,86.329699,6.903087
16,91.993561,86.994873,2.158125
17,91.993561,86.249554,9.307141
18,91.993561,85.436644,12.432798
19,91.993561,85.436496,12.427312
20,91.993561,87.209848,0.481651
21,91.993561,87.206869,0.482846
22,91.993561,87.208404,0.481981
23,91.993561,87.208404,0.481981
24,91.993561,87.212119,0.480796
25,91.993561,86.27584,9.305884
26,91.993561,87.208365,0.482118
27,91.993561,87.208903,0.482019
28,91.993561,86.275173,9.305829
29,91.993561,87.207995,0.482409
30,91.993561,86.733778,4.772028
31,91.993561,86.73423,4.772109
32,91.993561,86.734218,4.772112
33,91.993561,85.865759,8.327993
34,91.993561,86.549435,6.594654
35,91.993561,87.200687,0.484875
36,91.993561,86.329901,6.929792
37,91.993561,86.33123,6.934288
38,91.993561,86.33531,6.934676
39,91.993561,87.211846,0.480836
40,91.993561,86.401237,5.664579
41,91.993561,85.761184,10.430689
42,91.993561,86.274217,9.305741
43,91.993561,87.178187,0.553156
44,91.993561,87.208122,0.482645
45,91.993561,86.373744,8.346383
46,91.993561,86.39345,8.350631
47,91.993561,86.411721,8.354744
48,91.993561,84.369272,14.381348
49,91.993561,85.177866,12.410974
