gen,best,mean,std
0,91.993561,54.552877,35.727804
1,91.993561,55.421854,35.776889
2,91.993561,66.637491,32.542463
3,91.993561,66.737865,33.146657
4,91.993561,70.882989,29.830226
5,91.993561,72.803569,27.885695
6,91.993561,78.388457,23.784346
7,91.993561,80.748661,20.307096
8,91.993561,78.786916,21.929725
9,91.993561,77.056148,24.018153
10,91.993561,73.846804,26.960874
11,91.993561,75.752681,25.56181
12,91.993561,74.809685,25.258024
13,91.993561,80.607456,19.768455
14,91.993561,83.494446,15.587956
15,91.993561,84.675039,13.047408
16,91.993561,84.299184,13.308804
17,91.993561,85.853725,10.229564
18,91.993561,86.102739,11.460992
19,91.993561,86.895558,10.69894
20,91.993561,85.817112,13.81823
21,91.993561,87.03264,10.270563
22,91.993561,88.024012,7.202915
23,91.993561,87.486328,8.480498
24,91.993561,88.900321,2.466187
25,91.993561,89.039726,2.394425
26,91.993561,88.977484,2.422745
27,91.993561,88.301219,7.167802
28,91.993561,89.295439,0.499182
29,91.993561,89.303105,0.481899
30,91.993561,88.599177,6.797415
31,91.993561,87.524613,10.351738
32,91.993561,87.575931,10.352597
33,91.993561,88.434663,7.165271
34,91.993561,89.377311,0.262943
35,91.993561,89.35442,0.349862
36,91.993561,88.64762,6.800224
37,91.993561,88.647864,6.800168
38,91.993561,88.542248,6.816894
39,91.993561,88.597,6.813535
40,91.993561,88.61993,6.812175
41,91.993561,88.323334,7.496524
42,91.993561,87.230645,10.782449
43,91.993561,87.649142,10.038452
44,91.993561,87.917733,9.557582
45,91.993561,87.968138,9.551518
46,91.993561,87.990824,9.552081
47,91.993561,87.82411,9.559883
48,91.993561,88.095745,7.925943
49,91.993561,87.352041,9.375114
