gen,best,mean,std
0,41.616818,-4.207855,6.395562
1,38.033297,-2.941897,7.395022
2,38.033297,0.767625,9.496474
3,38.033297,1.309389,9.548011
4,38.033297,1.743148,9.586228
5,58.83604,3.204559,10.629212
6,58.83604,3.789378,10.377188
7,58.83604,5.931285,11.48421
8,58.83604,8.844893,13.059063
9,58.83604,11.057253,14.683589
10,60.796644,11.471221,14.247303
11,60.796644,11.44323,13.583068
12,60.796644,14.199059,14.070993
13,60.796644,14.799365,14.062768
14,60.796644,13.66358,13.15757
15,60.796644,16.693148,12.506412
16,67.561885,16.975962,12.214395
17,67.561885,18.140264,12.595468
18,67.561885,19.216163,12.87143
19,67.561885,20.435832,12.477013
20,67.561885,21.356684,11.095747
21,67.561885,20.883527,10.539774
22,67.561885,22.412958,9.899351
23,67.561885,23.066185,9.266182
24,67.561885,24.466931,10.681683
25,67.561885,24.128079,10.248254
26,67.561885,23.586205,11.730981
27,67.561885,24.058174,11.03329
28,67.561885,26.215173,10.631911
29,67.561885,25.437762,10.563732
30,67.561885,24.836181,10.533784
31,67.561885,23.604553,11.12431
32,67.561885,24.003719,10.953144
33,67.561885,24.059417,11.040682
34,67.561885,25.005033,11.485828
35,67.561885,23.960532,11.308308
36,67.561885,24.243358,10.711521
37,67.561885,24.027152,10.363624
38,67.561885,23.885101,10.798802
39,67.561885,22.856477,10.87584
40,67.561885,22.391717,10.12559
41,67.561885,21.21457,11.6493
42,67.561885,20.75109,12.04242
43,67.561885,20.784525,11.725388
44,67.561885,22.939814,11.818619
45,67.561885,22.735445,11.67607
46,67.561885,22.262147,11.473369
47,67.561885,20.553965,11.875808
48,67.561885,21.286678,12.742573
49,67.561885,20.920717,12.3375
50,67.561885,21.966487,12.243027
51,67.561885,21.949144,12.156388
52,67.561885,23.138647,11.7892
53,59.054793,21.343104,11.208115
54,67.541169,22.799562,10.00033
55,67.541169,23.729985,10.767247
56,67.541169,22.326363,10.972027
57,67.541169,21.522337,10.532813
58,67.541169,21.316921,10.854893
59,67.541169,21.182929,12.200556
60,67.541169,20.390239,11.908655
61,67.541169,20.894516,12.095067
62,67.541169,19.632509,11.358456
63,67.541169,20.739821,11.119918
64,67.541169,21.114861,11.666521
65,67.541169,21.903814,12.928241
66,67.541169,21.691106,11.887273
67,67.541169,21.687526,12.097215
68,67.541169,22.249948,12.014498
69,67.541169,21.546861,11.460743
70,67.541169,19.564185,11.981329
71,67.541169,19.920114,13.391577
72,67.541169,19.939136,12.67461
73,67.541169,19.578624,12.791258
74,67.541169,19.865929,13.026544
75,67.541169,19.860025,13.353469
76,67.541169,20.468705,13.156347
77,67.541169,20.773892,12.646238
78,67.541169,23.476198,12.553799
79,67.541169,22.229514,12.27951
80,67.541169,21.090196,12.0549
81,67.541169,20.051109,11.949099
82,67.541169,19.381852,11.840359
83,67.541169,19.564662,11.823733
84,67.541169,19.605739,14.143044
85,67.541169,21.319181,15.046392
86,67.541169,21.905402,13.796842
87,67.461178,20.37931,14.295127
88,67.461178,20.091735,13.532037
89,67.461178,22.068784,13.659784
90,67.461178,21.417027,13.138367
91,67.461178,19.226334,12.989879
92,67.461178,19.069231,12.8823
93,67.461178,18.726778,13.993687
94,67.461178,19.280957,13.976088
95,67.461178,19.782662,13.588886
96,67.461178,20.899,14.25921
97,67.461178,21.053586,13.220098
98,67.461178,20.632302,12.625813
99,67.461178,21.237308,13.055443
100,67.461178,21.453088,13.68482
101,67.461178,19.877082,12.839245
102,67.461178,19.163906,12.751422
103,67.461178,20.637605,13.55052
104,67.461178,20.723392,14.605
105,67.461178,19.82639,13.77866
106,67.461178,19.871785,14.149167
107,67.461178,19.69824,13.454943
108,67.461178,19.337726,13.612904
109,67.461178,19.489136,14.214546
110,67.461178,19.855041,14.066241
111,67.461178,18.348241,13.697037
112,67.461178,19.377558,14.818165
113,67.461178,20.712752,14.034136
114,67.461178,21.46869,13.879157
115,67.625887,22.10415,14.419405
116,67.461178,21.956358,13.231916
117,67.461178,22.547668,14.535975
118,67.461178,21.546022,14.272867
119,67.461178,21.455309,13.998614
120,67.461178,23.258148,15.853967
121,67.461178,22.485338,15.766111
122,67.461178,20.549298,14.837914
123,67.461178,21.517207,14.469641
124,67.461178,20.788918,15.091348
125,67.461178,21.123283,14.993931
126,67.461178,20.524561,14.705227
127,67.461178,22.898219,16.296189
128,67.461178,22.949489,14.920632
129,67.461178,21.299432,16.199852
130,67.461178,23.345914,17.063486
131,67.724586,25.264154,16.926972
132,67.461178,24.693034,15.896269
133,67.461178,24.349241,15.319413
134,67.461178,22.067668,15.325453
135,67.461178,22.123398,14.924937
136,67.461178,21.63227,14.638346
137,67.461178,22.844032,15.262837
138,67.461178,21.670839,15.970387
139,67.461178,21.357314,16.670569
140,67.461178,19.489239,15.56419
141,67.461178,19.715979,15.179608
142,67.461178,18.893701,15.59716
143,67.461178,20.548029,15.663972
144,67.461178,21.795499,14.835712
145,67.461178,23.068111,14.89741
146,67.461178,21.204571,15.366321
147,67.461178,22.471855,15.797651
148,73.598301,22.626864,16.192993
149,67.461178,21.000438,14.226122
150,67.464716,20.681397,14.494042
