gen,best,mean,std
0,66.013548,-2.84898,10.69574
1,66.013548,-1.808485,11.764354
2,66.176954,-0.880434,13.190906
3,66.176954,-0.217236,14.030761
4,66.176954,2.901085,16.626397
5,75.2699,7.189053,18.960462
6,75.2699,10.347315,19.736899
7,75.2699,12.198274,19.814645
8,75.2699,18.142855,21.148286
9,75.2699,23.212682,20.714412
10,75.2699,25.770956,19.689579
11,75.2699,28.50413,18.3252
12,75.2699,28.766004,17.906627
13,75.2699,29.657363,17.798899
14,75.2699,31.38036,17.219277
15,75.2699,32.93881,16.766283
16,75.2699,33.428357,17.205332
17,75.2699,36.450165,14.890576
18,75.2699,37.575527,14.243848
19,75.2699,38.642151,14.608366
20,75.2699,39.402839,13.722585
21,75.2699,41.112404,12.178111
22,75.2699,40.168718,13.123686
23,75.2699,40.002864,12.863219
24,75.2699,40.272786,12.909037
25,75.2699,40.907871,13.077079
26,75.2699,41.813108,12.274452
27,75.2699,43.567036,9.888804
28,75.2699,43.617283,9.297117
29,75.2699,42.95016,10.282757
30,75.2699,43.084799,10.323245
31,75.2699,43.131222,11.267676
32,75.2699,44.438583,10.389731
33,75.2699,45.620417,10.691386
34,75.2699,46.898824,10.90776
35,75.2699,49.707235,10.62338
36,75.2699,51.380822,9.928601
37,75.2699,51.516965,10.027581
38,75.2699,51.605481,10.556094
39,75.2699,51.021485,11.961203
40,75.2699,51.928757,12.374485
41,75.2699,53.327384,10.532792
42,75.2699,53.961776,9.697987
43,75.2699,53.915173,9.918661
44,75.2699,53.015072,11.679839
45,75.2699,53.917297,9.235364
46,75.2699,54.637552,8.509121
47,75.2699,54.095031,9.432468
48,75.2699,53.916351,9.41062
49,75.2699,54.366862,8.226827
50,75.2699,53.960003,8.732305
51,75.2699,54.187764,9.00399
52,75.2699,54.414341,8.821873
53,75.2699,54.907647,7.405291
54,75.2699,55.088535,6.470296
55,75.2699,55.133312,6.131904
56,75.2699,55.18169,7.253813
57,75.2699,54.461117,9.651754
58,75.2699,52.879748,11.218976
59,75.2699,52.522468,12.704996
60,75.2699,53.918037,10.22533
61,75.2699,54.502084,8.143309
62,75.2699,54.634072,6.872506
63,75.2699,55.35729,6.040403
64,75.2699,54.861251,7.594673
65,75.2699,54.230853,8.501735
66,75.2699,53.509415,10.442307
67,75.2699,53.324202,11.032063
68,75.2699,53.324123,11.640324
69,75.2699,54.497612,8.917302
70,75.2699,54.410117,8.219982
71,75.2699,54.998688,7.542451
72,75.2699,54.771325,7.774913
73,75.2699,54.861403,6.9161
74,75.2699,54.768629,6.837186
75,75.2699,54.361419,6.656507
76,75.2699,54.230533,8.644068
77,75.2699,54.633947,8.364978
78,75.2699,54.63644,8.31177
79,75.2699,54.274714,8.68006
80,75.2699,53.869689,9.87569
81,75.2699,54.317799,7.783914
82,75.2699,54.40835,8.607927
83,75.2699,54.094117,8.896724
84,75.2699,54.454259,7.705419
85,75.2699,54.542971,7.63487
86,75.2699,54.455154,9.365318
87,75.2699,53.958788,9.745709
88,75.2699,53.868896,10.518563
89,75.2699,54.54575,9.388255
90,75.2699,55.405682,7.771668
91,75.2699,54.413056,9.536769
92,75.2699,55.085902,8.130295
93,75.2699,55.716548,5.345286
94,75.2699,54.722902,7.732769
95,75.2699,54.54512,8.675559
96,75.2699,54.769992,7.621324
97,75.2699,54.364587,7.931083
98,75.2699,53.99985,8.208842
99,75.2699,52.600128,9.970178
100,75.2699,54.09157,8.14045
