gen,best,mean,std
0,87.988354,8.42993,26.246363
1,88.957323,13.643175,29.180291
2,89.834024,22.243946,32.696612
3,89.834024,29.139115,33.257875
4,89.834024,36.863192,33.370828
5,89.834024,40.478577,32.836873
6,89.834024,45.16911,31.142191
7,94.149365,47.37453,30.52973
8,94.149365,48.681339,31.644163
9,94.149365,45.400961,33.533293
10,94.149365,49.323236,32.7792
11,94.149365,51.78287,32.544244
12,94.149365,54.886875,31.401303
13,94.149365,61.821946,26.188216
14,94.149365,63.109625,25.474487
15,94.149365,65.898176,22.593626
16,94.509365,68.254995,18.911345
17,94.509365,68.972497,18.397151
18,94.509365,68.720207,17.645486
19,94.509365,70.281412,13.875312
20,94.509365,68.938412,16.203992
21,94.509365,67.416466,19.150581
22,94.509365,67.954275,18.088497
23,94.509365,68.581235,18.2053
24,94.509365,69.055975,18.253208
25,94.509365,68.905656,19.702706
26,94.509365,71.735735,16.529461
27,94.509365,72.129499,17.223155
28,94.509365,72.504719,18.057498
29,94.509365,72.499706,17.33415
30,94.509365,74.240339,15.934776
31,94.509365,72.464785,16.767314
32,94.509365,74.807505,13.312893
33,94.509365,76.634212,9.659145
34,94.509365,76.112015,9.912402
35,94.509365,76.169878,9.441521
36,94.509365,77.623908,9.152147
37,94.509365,75.883567,11.82974
38,94.509365,75.953187,11.626631
39,94.509365,76.122036,13.236538
40,94.509365,75.743242,14.077372
41,94.509365,76.671115,14.144603
42,94.509365,77.049512,13.043169
43,94.509365,77.9905,12.071667
44,94.509365,77.312417,13.348202
45,94.509365,76.366133,14.48004
46,94.509365,77.394356,12.58708
47,94.509365,77.549848,13.798462
48,94.509365,79.511114,11.549399
49,94.509365,78.993813,12.905852
50,94.509365,79.101587,11.532042
51,94.509365,79.40081,11.295731
52,94.509365,79.042486,10.496983
53,94.509365,78.899615,10.891128
54,94.509365,78.154478,13.505455
55,94.509365,78.702823,14.015662
56,94.509365,78.618239,15.906559
57,94.509365,78.051933,16.71724
58,94.509365,78.364519,18.351128
59,94.509365,78.723982,18.568575
60,94.509365,79.957704,16.054084
61,94.509365,81.175041,15.012957
62,94.509365,81.891055,13.90649
63,94.509365,82.991247,13.533459
64,94.509365,84.584121,12.868866
65,94.509365,84.441623,13.882149
66,94.509365,85.59493,11.225931
67,94.509365,84.004527,15.342067
68,94.509365,83.692298,15.992911
69,94.509365,83.399654,16.730285
70,94.509365,85.23289,12.72714
71,94.509365,84.560205,14.813203
72,94.509365,85.429092,11.836339
73,94.509365,85.452232,12.756833
74,94.509365,84.673245,14.110461
75,94.509365,84.490303,13.688373
76,94.509365,84.526545,13.256947
77,94.509365,84.495453,13.698484
78,94.509365,85.580012,11.04606
79,94.509365,84.963407,13.572986
80,94.509365,85.135033,12.652264
81,94.509365,84.515191,13.238127
82,94.509365,85.541955,10.941386
83,94.509365,84.634355,11.708916
84,94.509365,84.495206,11.932951
85,94.509365,85.333778,10.433493
86,94.509365,85.83393,10.64893
87,94.509365,85.937385,9.189757
88,94.509365,86.032908,8.083162
89,94.509365,85.871769,9.180825
90,94.509365,84.974379,12.154332
91,94.509365,85.432991,10.447697
92,94.509365,84.688073,12.805611
93,94.509365,84.666646,13.08484
94,94.509365,84.220094,14.009827
95,94.509365,84.056498,14.482018
96,94.509365,84.988152,11.728492
97,94.509365,82.981848,16.752829
98,94.509365,83.52382,15.98937
99,94.509365,83.277289,15.167787
100,94.509365,82.214383,17.876422
