gen,best,mean,std
0,3.2699,-5.660566,0.897899
1,66.100103,15.979451,20.841158
2,66.256997,24.977928,19.245737
3,74.971721,12.000208,21.390822
4,75.260207,18.078603,22.042678
5,94.918596,28.473817,18.626428
6,94.918596,27.136695,19.028366
7,94.918596,31.165579,17.060697
8,94.956575,10.060449,20.024726
9,94.956575,17.10406,21.796183
10,94.989365,18.431051,19.930088
11,94.989365,23.215629,19.525336
12,94.989365,23.678333,19.168028
13,94.989365,25.316178,18.834043
14,94.989365,28.039968,17.894594
15,94.989365,28.122117,17.424826
16,94.989365,28.922798,16.005042
17,94.989365,27.586707,15.029462
18,94.989365,29.83482,12.968351
19,94.989365,29.478239,14.482345
20,94.989365,31.620145,14.028061
21,94.989365,34.47693,12.819271
22,94.989365,33.047821,13.523915
23,94.989365,34.311047,11.192763
24,94.989365,35.02842,10.975181
25,94.989365,35.219557,10.040573
26,94.989365,35.591961,13.177946
27,94.989365,34.338145,14.038116
28,94.989365,35.236899,13.253053
29,94.989365,36.587456,12.238708
30,94.989365,37.649548,9.953115
31,94.989365,39.023691,12.744048
32,94.989365,39.212557,12.420512
33,94.989365,38.842937,11.031756
34,94.989365,40.298186,13.449801
35,94.989365,39.94955,13.525518
36,94.989365,37.960339,12.798516
37,94.989365,38.051321,12.191019
38,94.989365,37.779276,10.709853
39,94.989365,39.874345,13.795758
40,94.989365,40.157496,14.044569
41,94.989365,39.994863,15.326319
42,94.989365,38.96118,12.830932
43,94.989365,39.139432,12.578345
44,94.989365,41.245381,15.374087
45,94.989365,42.643106,16.446826
46,94.989365,44.093515,17.151472
47,94.989365,45.17294,17.419001
48,94.989365,43.642563,16.673588
49,94.989365,44.67002,19.217059
