gen,best,mean,std
0,94.918596,52.71473,18.57965
1,94.918596,55.126956,19.859344
2,94.918596,54.965895,19.323765
3,94.918596,58.277775,18.597342
4,94.918596,60.103882,18.907843
5,94.918596,59.466331,18.634727
6,94.918596,65.12386,19.635534
7,94.918596,66.885962,17.066426
8,94.918596,69.462966,14.999694
9,94.918596,69.556487,14.661611
10,94.918596,71.763568,12.617481
11,94.918596,72.238467,12.702304
12,94.918596,73.536717,13.907335
13,94.918596,74.235661,13.394803
14,94.918596,74.832938,13.166024
15,94.918596,76.866399,12.963841
16,94.918596,78.543584,12.25622
17,94.918596,79.204822,13.255793
18,94.918596,79.424913,14.480288
19,94.918596,80.250424,12.051615
20,94.918596,81.760508,12.305082
21,94.918596,81.668337,12.883453
22,94.918596,80.926959,13.576586
23,94.918596,80.420236,15.094621
24,94.918596,81.939407,11.470583
25,94.918596,77.927012,16.158992
26,94.918596,81.252821,13.532228
27,94.918596,82.999807,9.691261
28,94.918596,81.469609,12.224434
29,94.918596,79.997525,14.375549
30,94.918596,81.227797,13.027654
31,94.918596,80.931771,12.91332
32,94.918596,81.977485,11.381019
33,94.918596,82.250525,10.739485
34,94.918596,80.034613,14.773561
35,94.918596,79.857195,15.314022
36,94.918596,82.249299,11.164433
37,94.918596,83.390481,9.010333
38,94.918596,82.849429,10.530712
39,94.918596,82.023032,12.617231
40,94.918596,80.49424,14.148367
41,94.918596,82.850749,11.119745
42,94.918596,80.795354,14.416263
43,94.918596,81.140412,13.271286
44,94.918596,81.580481,11.855552
45,94.918596,81.016912,13.208804
46,94.918596,81.478611,11.93864
47,94.918596,80.333922,14.604315
48,94.918596,82.350945,10.801112
49,94.918596,82.171169,11.770954
