gen,best,mean,std
0,94.900134,13.731306,23.455221
1,94.900134,22.52904,23.65954
2,94.900134,29.800331,20.301908
3,94.900134,34.094888,15.555351
4,94.900134,36.178764,14.005633
5,94.900134,37.722359,12.760529
6,94.900134,40.231682,10.996623
7,94.900134,39.318764,11.849064
8,94.90625,33.755012,20.380871
9,94.90625,37.912531,17.920716
10,94.90625,39.010906,17.372752
11,94.90625,38.984164,18.035771
12,94.90625,39.698057,17.353384
13,94.90625,40.680635,17.696139
14,94.90625,42.095501,19.519677
15,94.90625,41.425726,19.906171
16,94.90625,37.116411,22.896734
17,94.90625,38.52904,23.844232
18,94.90625,37.319128,26.767706
19,94.90625,35.260479,25.762812
20,94.90625,39.093748,24.406611
21,94.90625,40.59332,24.624609
22,94.90625,40.898421,22.770938
23,94.90625,41.351131,21.347348
24,94.90625,40.838093,20.336882
25,94.90625,44.021285,17.046516
26,94.90625,45.867713,14.668586
27,94.90625,46.332511,14.101847
28,94.90625,46.311441,14.157125
29,94.90625,47.883976,12.463117
30,94.90625,46.932541,11.318597
31,94.90625,48.374169,8.546918
32,94.90625,47.237849,13.212462
33,94.90625,47.300139,11.651211
34,94.90625,46.005583,13.3112
35,94.90625,45.83498,12.861969
36,94.90625,46.279662,11.622594
37,94.90625,45.830171,11.011658
38,94.931096,48.811211,14.229923
39,94.931096,50.363284,16.347686
40,94.931096,53.141192,12.463124
41,94.931096,55.10666,9.352875
42,94.931096,55.741213,10.573629
43,94.931096,55.929516,9.639539
44,94.931096,55.728287,12.20125
45,94.931096,55.04726,12.316811
46,94.931096,55.05329,9.817558
47,94.931096,55.670193,9.303458
48,94.931096,56.295592,8.144618
49,94.931096,55.651921,11.118956
