gen,best,mean,std
0,57.188859,-1.4065,10.498633
1,89.333532,-0.553149,12.595469
2,89.333532,1.480125,13.879263
3,89.333532,2.769879,14.303267
4,94.785064,5.458583,17.000919
5,94.918596,8.297387,17.729022
6,94.918596,13.853744,18.931335
7,94.918596,16.836938,17.452612
8,94.918596,20.145238,17.323147
9,94.918596,23.828892,18.969312
10,94.918596,26.762713,20.119317
11,94.918596,31.113629,20.178841
12,94.918596,35.758258,18.630197
13,94.918596,38.792513,17.495183
14,94.918596,38.685211,16.592093
15,94.918596,37.927667,15.787123
16,94.918596,41.317056,12.350105
17,94.918596,40.511392,13.364752
18,94.918596,42.56675,11.344068
19,94.918596,43.285134,11.209686
20,94.918596,42.483994,12.589352
21,94.918596,42.754123,12.982369
22,94.918596,43.74603,12.151731
23,94.918596,44.811331,11.232885
24,94.918596,45.707393,9.282529
25,94.918596,46.691198,7.118823
26,94.918596,46.598802,8.12405
27,94.918596,45.876487,10.891405
28,94.918596,46.237741,10.55677
29,94.918596,45.705626,11.598648
30,94.918596,44.71134,13.533413
31,94.918596,45.16085,12.710865
32,94.918596,46.325337,10.784709
33,94.918596,47.131859,9.058333
34,94.918596,47.492229,7.414785
35,94.918596,47.404792,7.564297
36,94.918596,47.672229,7.315347
37,94.918596,46.681489,10.461661
38,94.918596,46.771489,10.433984
39,94.918596,47.221859,9.021862
40,94.918596,47.041489,9.094094
41,94.918596,47.221489,9.0222
42,94.918596,46.320749,11.015829
43,94.918596,47.761859,7.263892
44,94.918596,47.044422,9.350069
45,94.918596,47.584792,7.679792
46,94.918596,46.05423,11.289888
47,94.918596,46.772036,9.706541
48,94.918596,46.862036,9.675862
49,94.918596,46.951489,9.647251
