gen,best,mean,std
0,87.032892,51.44096,27.993428
1,92.31289,35.019779,34.764964
2,94.089365,48.865389,30.732864
3,94.089365,53.807945,28.752427
4,94.089365,58.482512,25.6844
5,94.089365,59.614939,25.077619
6,94.089365,61.666495,25.499464
7,94.089365,63.618162,23.314333
8,94.089365,64.765838,24.39734
9,94.089365,66.242416,23.12333
10,94.089365,68.578118,21.066026
11,94.089365,66.547058,22.09046
12,94.089365,67.591514,20.525335
13,94.089365,69.114356,18.308715
14,94.089365,70.216965,16.269719
15,94.089365,69.60219,16.078444
16,94.089365,72.125208,14.517961
17,94.089365,69.405119,18.969787
18,94.089365,70.272903,20.226432
19,94.089365,71.919899,16.842763
20,94.089365,71.437786,19.315366
21,94.089365,70.151561,20.506184
22,94.089365,69.453295,20.561038
23,94.089365,71.02178,19.395563
24,94.089365,68.618282,21.699133
25,94.089365,67.268124,25.362253
26,94.089365,69.400289,21.899806
27,94.089365,72.54608,18.250791
28,94.089365,70.022684,21.359176
29,94.089365,72.322226,18.813009
30,94.089365,73.267594,18.037947
31,94.089365,71.896744,19.186954
32,94.089365,71.599296,21.696153
33,94.089365,72.42835,20.426405
34,94.089365,71.065475,23.203664
35,94.089365,72.82883,22.504937
36,94.089365,74.86881,19.744635
37,94.089365,78.011695,15.158948
38,94.089365,80.342688,10.840091
39,94.089365,79.461478,11.434226
40,94.089365,79.299852,8.690966
41,94.089365,80.312574,10.69458
42,94.089365,81.783163,10.375579
43,94.089365,81.736612,10.28182
44,94.089365,82.712849,7.861163
45,94.089365,82.657767,8.351767
46,94.089365,82.156581,10.712208
47,94.089365,82.973859,8.112363
48,94.089365,82.386578,9.498412
49,94.089365,82.599491,11.391689
