gen,best,mean,std
0,4.723334,-2.545829,1.29022
1,89.423414,55.011477,26.991454
2,90.448142,69.194282,17.147365
3,94.209365,60.771449,24.414904
4,94.209365,65.55068,18.83045
5,94.209365,66.510656,17.954602
6,94.209365,70.085987,13.513466
7,94.209365,70.510613,13.7305
8,94.209365,70.678159,14.099519
9,94.509365,70.414678,15.647918
10,94.509365,70.779226,14.903986
11,94.509365,72.850525,10.454622
12,94.509365,73.387952,9.588207
13,94.509365,73.39356,7.625245
14,94.509365,73.401559,7.494001
15,94.509365,73.402961,7.050837
16,94.509365,73.508831,7.492922
17,94.509365,73.830784,6.415048
18,94.509365,73.972805,6.481191
19,94.509365,74.003115,6.48553
20,94.509365,73.12561,8.449898
21,94.509365,73.676724,7.586112
22,94.509365,74.145077,6.94149
23,94.509365,73.440953,9.239436
24,94.509365,74.59958,5.383354
25,94.509365,72.973914,8.874694
26,94.509365,74.876619,4.697872
27,94.509365,74.873586,4.696339
28,94.509365,74.606852,5.363099
29,94.509365,74.699405,5.60029
30,94.509365,74.881406,5.476883
31,94.509365,74.604143,5.066832
32,94.509365,75.057649,3.946575
33,94.509365,74.695026,4.476579
34,94.509365,73.726251,9.068503
35,94.509365,74.245,7.24605
36,94.509365,74.518351,5.850626
37,94.509365,74.062596,6.854639
38,94.509365,74.500719,5.600415
39,94.509365,73.976577,8.354175
40,94.509365,74.260509,8.02257
41,94.509365,74.516974,5.429817
42,94.509365,74.337172,7.741426
43,94.509365,74.700025,5.886204
44,94.509365,74.612775,5.934854
45,94.509365,73.712494,7.768439
46,94.509365,74.069673,7.743548
47,94.509365,74.882454,6.039537
48,94.509365,74.342174,7.193136
49,94.509365,74.967822,4.774999
