gen,best,mean,std
0,87.152892,59.41676,22.264648
1,90.031733,28.524433,34.581484
2,90.448142,54.517462,34.253917
3,94.209365,38.130791,32.141388
4,94.209365,48.657006,30.144758
5,94.209365,57.436677,25.979805
6,94.209365,62.027953,23.666728
7,94.209365,65.872697,21.291392
8,94.209365,70.026119,16.283452
9,94.509365,69.349947,18.205773
10,94.509365,73.086158,11.456573
11,94.509365,73.250347,10.654374
12,94.509365,74.748532,4.024911
13,94.509365,74.409928,7.731481
14,94.509365,75.303791,3.917364
15,94.509365,73.43653,10.97856
16,94.509365,73.194275,12.624544
17,94.509365,72.136046,14.526125
18,94.509365,72.65797,13.086973
19,94.509365,73.181319,11.229926
20,94.509365,74.506235,8.096159
21,94.509365,73.18736,12.173826
22,94.509365,73.875389,9.202379
23,94.509365,72.636702,12.287748
24,94.509365,72.561463,13.091503
25,94.509365,73.709099,10.346876
26,94.509365,74.318204,8.469303
27,94.509365,74.76839,7.233334
28,94.509365,74.496103,7.710444
29,94.509365,74.495677,7.716028
30,94.509365,75.465514,1.913979
31,94.509365,74.159627,10.091455
32,94.509365,73.36061,12.154606
33,94.509365,74.065239,10.014447
34,94.509365,72.396309,13.986508
35,94.509365,73.884136,10.156352
36,94.509365,74.586245,7.439718
37,94.509365,75.285353,2.635524
38,94.509365,75.285386,2.635524
39,94.509365,74.137849,8.276289
40,94.509365,74.214905,6.270002
41,94.509365,74.303123,6.607736
42,94.509365,74.839374,4.851604
43,94.509365,75.465778,1.913954
44,94.509365,73.527503,11.297389
45,94.509365,70.036429,19.373488
46,94.509365,71.024203,17.775075
47,94.509365,71.744953,16.420185
48,94.509365,71.049642,16.755172
49,94.509365,72.738489,13.212985
