gen,best,mean,std
0,89.368142,1.221628,21.489704
1,90.212892,11.214384,30.144862
2,91.288142,18.014797,34.376932
3,91.288142,24.956023,38.239168
4,91.288142,40.128407,39.475851
5,91.288142,55.850045,35.567118
6,91.288142,65.210485,29.975063
7,91.288142,70.860377,24.148661
8,91.763414,73.819586,19.91208
9,91.763414,75.620615,20.254585
10,91.763414,77.45471,19.188323
11,91.763414,79.228041,16.960555
12,91.763414,82.652402,14.828661
13,91.763414,86.004948,7.813103
14,91.763414,87.26147,7.0379
15,91.763414,88.36221,4.425348
16,91.763414,86.773666,7.428969
17,91.763414,86.579849,7.698412
18,91.763414,87.226428,7.348625
19,91.763414,87.320744,7.018673
20,91.763414,87.702325,6.463024
21,91.763414,88.226136,4.92773
22,91.763414,87.988603,5.677896
23,91.763414,88.177843,5.235788
24,91.763414,88.590957,4.164384
25,91.876695,86.968338,6.991911
26,91.876695,87.794805,5.538051
27,91.876695,87.606185,5.954059
28,91.876695,87.67629,5.935477
29,91.876695,87.90232,5.542803
30,91.876695,87.852228,5.949717
31,91.876695,87.622753,6.324613
32,91.876695,85.944759,8.610785
33,91.876695,87.518509,6.311017
34,91.876695,87.811596,6.327376
35,91.876695,88.49172,4.550696
36,91.876695,87.873248,5.923646
37,91.876695,87.729422,5.908
38,91.876695,87.421979,6.289411
39,91.876695,88.507139,3.966065
40,91.876695,88.043065,5.057992
41,91.876695,87.953112,5.07761
42,91.876695,88.132548,5.081401
43,91.876695,87.789907,5.503262
44,91.876695,87.745712,5.494276
45,91.876695,87.445827,6.298855
46,91.876695,87.803895,5.504888
47,91.876695,87.762739,5.518972
48,91.876695,88.21248,5.063711
49,91.876695,87.887361,5.943152
