gen,best,mean,std
0,-2.70805,-3.69321,1.370354
1,87.636796,60.626491,20.966413
2,90.031733,40.376319,37.454023
3,93.760019,49.856523,34.328409
4,94.209365,41.065905,32.104828
5,94.209365,45.905537,30.921296
6,94.209365,55.572285,25.70885
7,94.209365,58.25991,26.271657
8,94.209365,62.509437,25.39935
9,94.209365,68.708447,22.870413
10,94.509365,73.726749,19.379551
11,94.509365,76.789231,18.783367
12,94.509365,80.752317,13.766475
13,94.509365,81.526304,12.608796
14,94.509365,80.3874,16.522914
15,94.509365,79.680048,18.56141
16,94.509365,80.827961,15.586079
17,94.509365,82.455482,12.433209
18,94.509365,82.673179,11.08481
19,94.509365,82.578715,11.180965
20,94.509365,82.290549,11.438193
21,94.509365,82.851433,11.383808
22,94.509365,82.544407,13.8566
23,94.509365,83.185303,9.150106
24,94.509365,82.831475,10.886363
25,94.509365,82.935954,10.774933
26,94.509365,83.942282,8.474953
27,94.509365,84.252184,8.343947
28,94.509365,82.319281,13.16356
29,94.509365,83.858081,8.826305
30,94.509365,83.298555,9.653631
31,94.509365,83.721267,7.56603
32,94.509365,84.018569,7.300919
33,94.509365,83.62174,7.608532
34,94.509365,84.010292,7.05125
35,94.509365,82.496016,12.656897
36,94.509365,82.978321,11.533628
37,94.509365,81.494771,15.417478
38,94.509365,81.430676,16.470143
39,94.509365,81.493675,15.1114
40,94.509365,83.586274,9.184186
41,94.509365,83.286157,8.998713
42,94.509365,83.77634,8.716969
43,94.509365,82.981659,11.703542
44,94.509365,83.409359,10.077263
45,94.509365,84.296315,5.972345
46,94.509365,84.57539,3.959463
47,94.509365,84.865674,3.622316
48,94.509365,84.455616,3.669894
49,94.509365,84.84674,2.869325
