gen,best,mean,std
0,86.049362,41.444552,28.323958
1,87.152892,69.685929,10.142533
2,88.409573,59.955305,27.262636
3,91.041683,37.569989,41.489631
4,92.121683,57.009802,35.303732
5,92.226794,63.169406,27.725918
6,92.231732,74.581883,14.188196
7,92.246695,75.93176,18.267901
8,92.246695,78.166126,18.133323
9,92.246695,82.882471,11.628208
10,92.246695,81.232823,14.510952
11,92.246695,79.520219,17.029124
12,92.246695,78.089238,18.702119
13,92.246695,77.448208,18.218744
14,92.246695,79.201142,14.801493
15,92.246695,79.237389,14.668659
16,92.246695,80.273442,11.95179
17,92.246695,80.060094,11.969144
18,92.246695,81.195616,9.801653
19,92.246695,81.483684,9.744108
20,92.246695,81.338894,9.737043
21,92.246695,80.374294,10.169789
22,92.246695,79.818432,10.140759
23,92.246695,79.679084,10.409505
24,92.246695,78.481536,10.466029
25,92.246695,80.074448,10.394712
26,92.246695,81.719052,9.876475
27,92.246695,83.104198,8.743139
28,92.246695,80.999516,9.981735
29,92.246695,81.726816,9.573999
30,92.246695,82.054203,9.519598
31,92.246695,81.899677,9.585194
32,92.246695,81.421516,10.011804
33,92.246695,82.070023,9.770539
34,92.246695,83.384026,8.883744
35,92.246695,83.895741,8.406699
36,92.246695,84.250796,8.535764
37,92.246695,83.231584,9.234917
38,92.246695,81.488686,10.358493
39,92.246695,81.335854,10.409504
40,92.246695,78.57179,11.02973
41,92.246695,80.774308,10.498426
42,92.246695,81.464679,9.883109
43,92.246695,80.834382,10.322504
44,92.246695,80.665175,10.288986
45,92.246695,79.618695,10.364956
46,92.246695,80.2823,10.185935
47,92.246695,79.782616,10.116803
48,92.246695,79.783768,9.965769
49,92.246695,80.513457,10.108597
