gen,best,mean,std
0,90.739688,27.428488,36.259486
1,91.842264,19.618724,31.845249
2,93.392892,26.004869,30.829002
3,93.572892,35.30113,29.89751
4,93.572892,42.781992,28.213639
5,93.572892,45.172117,27.827908
6,93.572892,48.114799,28.499394
7,93.572892,48.911452,27.893831
8,93.572892,51.074771,28.649095
9,93.572892,54.34522,29.832092
10,93.572892,59.040377,29.229681
11,93.572892,64.752024,30.340599
12,93.572892,65.38689,29.344542
13,93.572892,62.707563,31.464525
14,93.572892,66.608587,29.711553
15,93.572892,66.121568,30.855139
16,93.572892,78.685037,22.879798
17,93.572892,78.893424,22.567029
18,93.572892,76.05459,25.788199
19,93.572892,78.916143,23.256306
20,93.572892,81.024742,20.235408
21,93.616695,13.263899,18.296692
22,93.616695,16.459619,21.375428
23,93.616695,17.236876,21.211146
24,93.616695,16.491388,21.276214
25,93.616695,18.929441,22.277269
26,93.616695,21.107014,23.112484
27,93.616695,29.479756,26.525141
28,93.616695,35.271228,26.257654
29,93.616695,42.598726,28.359389
30,93.616695,47.589746,28.381387
31,93.616695,53.088955,28.475751
32,93.616695,58.791287,27.617346
33,93.616695,61.272314,27.728096
34,93.616695,65.196208,27.994251
35,93.616695,74.003546,25.106534
36,93.616695,76.729273,23.147911
37,93.616695,77.792489,23.514877
38,93.616695,80.241364,21.86967
39,93.616695,83.697594,19.928834
40,93.616695,85.177811,17.847897
41,93.616695,81.77403,21.299762
42,93.616695,84.127553,19.096644
43,93.616695,84.935927,18.151487
44,93.616695,86.456646,15.633461
45,93.616695,83.633048,18.219229
46,93.616695,82.447871,18.408687
47,93.616695,85.12563,15.949786
48,93.616695,86.331384,14.517535
49,93.616695,87.452192,11.616307
