gen,best,mean,std
0,90.745289,49.271312,37.258602
1,93.196695,59.924838,32.087289
2,93.496695,71.894121,27.740165
3,93.496695,71.563394,27.431323
4,93.496695,76.227301,23.368049
5,93.496695,78.029252,21.571112
6,93.496695,79.425589,20.044523
7,93.496695,80.692755,18.514097
8,93.496695,84.32587,12.331698
9,93.496695,83.268034,14.641068
10,93.496695,83.302779,15.304802
11,93.496695,85.310087,10.824693
12,93.496695,85.4881,9.859804
13,93.496695,85.396655,9.344976
14,93.496695,86.276616,6.879168
15,93.496695,86.276616,6.879168
16,93.496695,84.916172,11.301539
17,93.496695,83.203803,15.018087
18,93.636796,79.479061,21.143955
19,93.636796,80.878418,19.169978
20,93.636796,82.557143,17.418644
21,93.636796,78.54576,22.564682
22,93.636796,79.287359,22.487219
23,93.636796,77.466995,24.065595
24,93.636796,76.016822,24.9527
25,93.636796,78.753755,22.868096
26,93.636796,78.321933,22.666421
27,93.636796,80.997955,19.682529
28,93.636796,79.887653,21.156351
29,93.636796,81.4937,20.01526
30,93.636796,79.461021,22.780879
31,93.636796,80.156942,21.426729
32,93.636796,83.705001,18.470915
33,93.636796,85.203702,17.184398
34,93.636796,85.270678,16.531142
35,93.636796,86.084152,14.930594
36,93.636796,86.352102,14.690647
37,93.636796,83.533299,21.378784
38,93.636796,80.901713,23.025391
39,93.636796,83.546568,19.690285
40,93.636796,84.800256,19.522413
41,93.636796,82.545094,21.695887
42,93.636796,82.163336,21.893194
43,93.636796,84.462071,19.067367
44,93.636796,84.915551,18.548429
45,93.636796,87.316858,14.093314
46,93.636796,87.989811,12.371139
47,93.636796,87.32224,12.857728
48,93.636796,87.695628,10.992846
49,93.636796,84.285844,17.727817
