gen,best,mean,std
0,48.122264,-1.785823,11.188781
1,66.156456,-1.247811,12.342669
2,75.013548,0.187909,13.274674
3,75.013548,4.068347,16.26147
4,75.013548,9.311641,18.615543
5,75.013548,15.552893,19.979598
6,94.918596,19.261174,20.276815
7,94.918596,22.801888,19.8382
8,94.918596,27.464926,17.889636
9,94.918596,27.784122,18.856118
10,94.918596,27.880234,17.327207
11,94.918596,28.161377,18.501406
12,94.918596,28.255068,17.816294
13,94.918596,28.989704,17.74563
14,94.918596,31.779768,15.864654
15,94.918596,33.408018,14.605199
16,94.918596,33.10174,14.212854
17,94.918596,33.468862,13.929847
18,94.918596,34.10059,13.56232
19,94.918596,35.274534,12.080268
20,94.918596,36.404892,12.281824
21,94.918596,35.779987,12.574325
22,94.918596,36.269041,11.044867
23,94.918596,36.809176,9.452177
24,94.918596,37.076494,8.43507
25,94.918596,37.123563,8.179563
26,94.918596,37.573997,7.294697
27,94.918596,37.896563,8.793107
28,94.918596,38.113787,6.999247
29,94.918596,38.111473,6.887695
30,94.918596,38.199818,6.963885
31,94.918596,37.614639,8.321367
32,94.918596,37.704724,7.83647
33,94.918596,37.614605,8.074399
34,94.918596,38.422681,6.669818
35,94.918596,38.244428,7.560496
36,94.918596,38.470871,6.643782
37,94.918596,38.515492,6.17413
38,94.918596,38.471001,6.454549
39,94.918596,37.97912,7.291238
40,94.918596,38.337891,7.00712
41,94.918596,38.74186,6.155718
42,94.918596,38.740842,5.81812
43,94.918596,38.517532,7.527986
44,94.918596,37.530858,9.132247
45,94.918596,37.57509,8.279675
46,94.918596,38.024093,7.435376
47,94.918596,38.427526,6.415109
48,94.918596,37.706679,8.479027
49,94.918596,37.616445,8.929626
50,94.918596,37.797711,7.956335
51,94.918596,37.707145,8.141938
52,94.918596,38.202639,7.46746
53,94.918596,38.561931,6.648885
54,94.918596,39.146031,5.522313
55,94.918596,39.145727,5.373627
56,94.918596,38.337696,7.775038
57,94.918596,37.933043,7.999251
58,94.918596,38.157533,7.208719
59,94.918596,38.425444,6.902078
60,94.918596,38.695488,6.123762
61,94.918596,39.009822,4.854061
62,94.918596,39.054445,4.814369
63,94.918596,39.144446,4.64545
64,94.918596,38.965043,5.212767
65,94.918596,39.054363,5.138709
66,94.918596,39.144333,4.816329
67,94.918596,39.413722,3.984505
68,94.918596,39.32447,4.087151
69,94.918596,39.145358,4.464549
70,94.918596,38.919961,5.171559
71,94.918596,39.460489,4.853489
72,94.918596,39.32551,5.221158
73,94.918596,38.964876,5.215853
74,94.918596,39.422988,5.875944
75,94.918596,39.056392,4.55095
76,94.918596,38.698408,5.341346
77,94.918596,38.699191,6.440666
78,94.918596,38.428582,6.900524
79,94.918596,38.518962,6.734567
80,94.918596,38.11421,6.707287
81,94.918596,37.710992,7.673197
82,94.918596,37.485917,7.491761
83,94.918596,37.934007,6.614795
84,94.918596,38.11211,6.650824
85,94.918596,38.472432,6.579927
86,94.918596,38.517232,6.554118
87,94.918596,39.0121,5.698223
88,94.918596,38.831518,6.230206
89,94.918596,38.785945,5.504814
90,94.918596,38.875095,5.434787
91,94.918596,38.380364,6.752309
92,94.918596,38.604834,6.439081
93,94.918596,38.607046,5.977943
94,94.918596,38.607077,6.374127
95,94.918596,39.012209,5.017343
96,94.918596,39.193102,5.631841
97,94.918596,39.551709,5.767441
98,94.918596,39.418527,5.519026
99,94.918596,39.747192,8.673909
100,94.918596,38.991813,9.925517
