gen,best,mean,std
0,39.013548,-3.200374,8.89138
1,65.601405,-1.355921,12.557917
2,94.785064,0.620321,15.495823
3,94.785064,3.067621,18.292402
4,94.785064,8.173734,21.236347
5,94.785064,13.180843,22.603449
6,94.785064,15.454265,21.457539
7,94.852506,19.322497,23.674727
8,94.852506,18.031175,22.139915
9,94.852506,24.133279,21.468636
10,94.852506,24.41736,20.855579
11,94.852506,25.501724,21.149373
12,94.852506,26.318431,20.700735
13,94.852506,25.689251,20.643295
14,94.852506,29.547647,18.479635
15,94.852506,27.752538,20.585108
16,94.852506,26.670601,20.07729
17,94.852506,28.281638,19.957351
18,94.852506,29.889674,19.05462
19,94.852506,30.611612,18.345966
20,94.852506,33.930997,15.404991
21,94.852506,31.683225,17.475713
22,94.852506,33.126915,16.070306
23,94.852506,35.355806,14.270479
24,94.852506,33.925297,15.872671
25,94.852506,34.469471,15.303266
26,94.852506,34.644009,14.942352
27,94.852506,33.747746,15.962674
28,94.852506,35.448475,13.800696
29,94.852506,35.896732,13.167003
30,94.852506,36.432275,12.217903
31,94.852506,36.248941,12.83191
32,94.852506,36.247378,12.83704
33,94.852506,37.236006,11.38972
34,94.852506,37.508277,10.350751
35,94.852506,37.055267,10.701125
36,94.852506,35.896501,12.670593
37,94.852506,37.150167,10.890081
38,94.852506,35.534619,13.686139
39,94.852506,35.893056,13.297861
40,94.852506,37.5035,10.338753
41,94.852506,37.149561,11.467811
42,94.852506,37.507948,10.650767
43,94.852506,36.071604,12.972363
44,94.852506,34.907334,14.733196
45,94.852506,34.542989,15.272825
46,94.852506,36.789871,12.158638
47,94.852506,37.326415,11.365593
48,94.852506,37.326085,11.366653
49,94.852506,37.507597,10.802324
50,94.852506,37.595854,10.479685
