gen,best,mean,std
0,57.2699,-2.62027,10.138539
1,57.2699,-1.769205,11.26499
2,75.2699,-1.048842,12.568592
3,75.2699,1.110104,14.927111
4,75.2699,4.359161,16.276251
5,75.2699,8.622269,18.352734
6,94.918596,15.625688,20.810267
7,94.918596,18.840645,21.458291
8,94.918596,19.636652,21.339714
9,94.918596,22.599031,20.073818
10,94.918596,26.583424,19.156073
11,94.918596,27.758648,18.475814
12,94.918596,29.797829,17.612967
13,94.918596,29.905177,16.676197
14,94.918596,31.695318,15.625256
15,94.918596,31.463666,16.086386
16,94.918596,34.559613,13.93637
17,94.918596,33.887652,14.00835
18,94.918596,35.180742,12.694913
19,94.918596,35.269673,13.011871
20,94.918596,35.627066,11.739933
21,94.918596,37.287343,8.755576
22,94.918596,37.871867,7.812443
23,94.918596,36.977941,9.116123
24,94.918596,37.889435,8.310279
25,94.918596,37.932798,6.836927
26,94.918596,38.16441,8.045008
27,94.918596,37.720531,7.213974
28,94.918596,38.031472,7.133752
29,94.918596,37.502461,6.9048
30,94.918596,38.403235,7.244158
31,94.918596,37.224449,10.656884
32,94.918596,37.020021,12.20122
33,94.918596,36.271156,10.502833
34,94.918596,37.463743,11.913177
35,94.918596,37.369751,14.127947
36,94.918596,37.389604,15.391821
37,94.918596,36.677371,15.207832
38,94.918596,36.928179,17.166623
39,94.918596,37.310334,15.432976
40,94.918596,37.524038,15.12412
41,94.918596,38.540329,16.564004
42,94.918596,39.237967,16.078426
43,94.918596,40.622799,17.005884
44,94.918596,40.657614,16.3088
45,94.918596,41.16067,16.517275
46,94.918596,43.016116,17.275451
47,94.918596,45.079622,18.152245
48,94.918596,44.724378,18.741422
49,94.918596,46.222109,18.950995
50,94.918596,47.673256,19.25983
51,94.918596,47.420692,17.67197
52,94.918596,48.229937,17.714451
53,94.918596,50.255779,17.517381
54,94.918596,53.739456,18.548316
55,94.918596,52.517817,17.107592
56,94.918596,52.251726,17.702705
57,94.918596,51.715958,17.836202
58,94.918596,52.660627,17.708329
59,94.918596,52.406385,15.944056
60,94.918596,53.451253,16.176442
61,94.918596,53.359084,17.340789
62,94.918596,52.7573,15.927407
63,94.918596,52.273255,15.909744
64,94.918596,55.059635,16.620634
65,94.918596,55.678742,17.433091
66,94.918596,55.652413,16.599522
67,94.918596,57.01161,16.500931
68,94.918596,55.526902,16.002263
69,94.918596,55.096936,15.497335
70,94.918596,53.776692,15.282026
71,94.918596,54.562909,16.544346
72,94.918596,55.47853,17.866144
73,94.918596,56.932768,18.562878
74,94.918596,56.609344,18.463927
75,94.918596,57.592136,18.259377
76,94.918596,56.984897,16.622296
77,94.918596,56.810827,16.197185
78,94.918596,57.40503,15.544902
79,94.918596,56.113195,15.346132
80,94.918596,55.528735,16.154808
81,94.918596,55.325761,15.114408
82,94.918596,55.494981,14.929816
83,94.918596,53.888208,15.131847
84,94.918596,55.50142,16.421975
85,94.918596,56.391964,16.299151
86,94.918596,56.497895,16.014743
87,94.918596,57.34425,15.093246
88,94.918596,56.111173,16.285665
89,94.918596,55.816958,14.448198
90,94.918596,56.012599,15.027776
91,94.918596,55.341571,15.883588
92,94.918596,54.392359,16.037388
93,94.918596,52.307846,15.327561
94,94.918596,52.890739,15.909751
95,94.918596,51.941235,15.60206
96,94.918596,54.085201,15.579865
97,94.918596,55.676251,15.375801
98,94.918596,55.644391,14.834781
99,94.918596,55.891334,15.148677
100,94.918596,56.965601,15.242212
