gen,best,mean,std
0,20.908006,-4.06608,5.421241
1,28.939365,-2.682017,7.069609
2,29.138381,-0.481986,8.769124
3,34.314873,2.432754,10.224163
4,34.314873,2.435958,9.890889
5,34.219826,4.610233,10.322091
6,39.041452,5.018989,11.018911
7,37.444778,5.87981,12.036611
8,39.095574,8.045691,12.173005
9,48.960785,8.965386,13.509462
10,51.859907,12.563813,14.074349
11,51.799377,13.155068,12.642026
12,51.799377,13.666971,11.607909
13,51.466085,15.965528,11.816734
14,51.466085,17.803278,11.861515
15,58.29565,18.814414,10.554665
16,58.699069,20.254082,11.969627
17,58.498333,21.303053,11.406388
18,58.498333,21.551337,12.092632
19,58.708295,22.264745,11.86246
20,58.594404,21.561462,11.578129
21,64.759289,22.504602,12.800089
22,64.766125,23.382542,12.856461
23,64.355178,21.536122,11.336286
24,64.355178,22.545583,12.195312
25,64.355178,21.29118,11.271795
26,64.355178,22.748589,12.617087
27,64.795084,21.84876,11.578488
28,64.795084,21.47044,10.952028
29,64.749944,21.673517,10.336812
30,64.749944,22.463134,10.904619
31,64.754173,23.054074,11.465532
32,64.74312,21.490921,10.419865
33,64.404384,23.844173,11.886194
34,64.749944,25.247068,11.979537
35,64.749944,23.914404,11.047733
36,64.409089,24.907447,11.751966
37,64.405189,25.496415,11.628452
38,64.412642,27.218932,12.44635
39,64.410689,27.478877,12.926379
40,64.409502,27.581623,13.710423
41,64.410689,27.144917,13.077658
42,64.410689,25.836679,12.908276
43,64.410689,28.736559,14.232764
44,64.410689,30.455807,14.412032
45,64.410689,30.327097,15.230249
46,64.410689,27.569432,14.50306
47,64.410689,27.251465,12.625795
48,64.410689,28.092375,14.049666
49,65.627676,27.756455,13.783091
50,65.628555,29.74156,14.20648
51,65.628555,28.540754,12.82031
52,65.628555,28.887599,13.416825
53,65.628555,28.016468,14.039946
54,65.630308,30.775651,15.12757
55,65.60889,28.878145,15.205359
56,65.628555,31.087755,16.385107
57,65.627676,31.155186,16.281961
58,65.628555,30.769676,17.117712
59,65.628555,29.733748,17.103293
60,65.628555,28.215771,15.669637
61,65.628555,27.85172,16.105319
62,65.628555,29.724006,16.899202
63,65.628555,29.574665,16.654749
64,65.628555,29.208958,16.19958
65,65.628555,27.602686,16.477352
66,65.628555,28.682599,16.639021
67,65.636434,28.724197,15.834241
68,65.628555,29.428657,16.696313
69,65.628555,29.669847,16.164329
70,65.634364,29.306188,15.644102
71,65.628555,29.357315,16.588343
72,65.628555,28.542293,15.315362
73,65.628555,28.39774,15.743272
74,65.628555,27.375404,14.667076
75,65.628555,27.101533,15.758406
76,65.628555,29.206745,15.939462
77,65.634364,28.112901,16.80012
78,65.634364,30.11935,17.081621
79,65.634364,30.343463,16.074984
80,65.633476,30.730958,16.303993
81,65.634364,27.663345,15.403168
82,65.634364,30.558714,16.030319
83,65.636135,31.474312,16.681938
84,65.630591,31.437286,16.665847
85,65.630308,32.217341,16.907073
86,65.630308,32.931768,17.717824
87,65.636135,31.216407,17.334733
88,65.630308,29.16762,16.49055
89,65.636135,31.005749,16.969824
90,65.628555,30.429029,17.74182
91,65.628555,28.708614,17.893591
92,65.628555,28.589314,17.348525
93,65.634364,27.261675,18.144632
94,65.634364,29.770311,18.779067
95,65.628555,30.859527,18.934116
96,65.628555,30.854991,18.13204
97,65.630591,31.516555,18.885974
98,65.628555,31.83676,19.670551
99,65.636135,33.742162,19.721324
100,65.636135,30.306028,18.296012
