gen,best,mean,std
0,-5.743003,-5.778296,0.022505
1,39.228559,2.233546,8.529565
2,74.981407,16.671225,18.583017
3,92.060207,20.826718,25.204838
4,94.918596,20.223165,18.174134
5,94.918596,23.712314,18.814753
6,94.918596,24.983334,17.891111
7,94.918596,29.262327,17.865856
8,94.918596,29.504931,18.349163
9,94.918596,31.39478,18.235425
10,94.918596,34.707725,16.039221
11,94.918596,36.94035,15.201272
12,94.918596,38.915965,13.558436
13,94.918596,42.036582,11.290766
14,94.918596,41.232329,13.516841
15,94.918596,42.041328,13.808027
16,94.918596,44.466967,10.70526
17,94.918596,44.641727,10.831808
18,94.918596,45.265414,11.341308
19,94.918596,43.822499,12.806987
20,94.918596,42.574072,14.020517
21,94.918596,45.447263,11.923333
22,94.918596,45.165509,12.249973
23,94.918596,45.614216,10.167627
24,94.918596,47.142235,7.5845
25,94.918596,46.428131,8.748856
26,94.918596,46.86929,7.599849
27,94.918596,46.789269,8.143277
28,94.918596,46.51692,8.441879
29,94.918596,46.432634,8.379757
30,94.918596,45.089952,10.24743
31,94.918596,45.352147,9.885323
32,94.918596,45.714977,9.563462
33,94.918596,46.969773,8.167238
34,94.918596,47.619572,8.855698
35,94.918596,45.898582,8.986372
36,94.918596,45.984558,8.956017
37,94.918596,46.342801,9.116366
38,94.918596,46.260646,8.213903
39,94.918596,46.976979,7.544458
40,94.918596,47.240089,6.111002
41,94.918596,47.5218,7.625087
42,94.918596,46.455267,9.374293
43,94.918596,46.886675,6.67864
44,94.918596,46.615284,6.806418
45,94.918596,46.531559,6.731641
46,94.918596,46.355847,6.566965
47,94.918596,47.51677,6.216763
48,94.918596,47.348459,6.452722
49,94.918596,46.908502,9.396814
