gen,best,mean,std
0,66.100103,20.670213,20.636813
1,66.256997,25.477214,18.523061
2,74.971721,38.077156,11.327569
3,74.971721,37.446937,13.146988
4,94.918596,39.596932,12.378392
5,94.918596,40.152321,13.298552
6,94.918596,41.161053,14.732026
7,94.956575,33.701311,24.925905
8,94.956575,35.396848,25.343133
9,94.989365,33.22068,25.290968
10,94.989365,32.49826,22.159593
11,94.989365,34.742997,20.846296
12,94.989365,33.902353,18.379066
13,94.989365,37.675409,16.891208
14,94.989365,37.652053,15.333448
15,94.989365,37.457046,13.224154
16,94.989365,37.814481,14.384062
17,94.989365,38.521903,12.147297
18,94.989365,38.083301,13.857802
19,94.989365,38.266904,14.831986
20,94.989365,34.902426,15.56961
21,94.989365,37.415845,12.703944
22,94.989365,33.640429,16.554916
23,94.989365,35.260429,14.533692
24,94.989365,36.069648,12.932954
25,94.989365,36.695302,12.137354
26,94.989365,38.223306,9.563391
27,94.989365,39.484365,5.648212
28,94.989365,39.573306,5.569523
29,94.989365,39.12587,8.516964
30,94.989365,38.31587,10.260338
31,94.989365,37.693061,11.365636
32,94.989365,37.507434,11.340633
33,94.989365,38.145657,11.71501
34,94.989365,37.868063,11.096514
35,94.989365,38.49802,10.271124
36,94.989365,37.958433,9.740767
37,94.989365,38.500583,10.282509
38,94.989365,39.242218,10.836692
39,94.989365,40.973789,11.096409
40,94.989365,39.412091,10.45582
41,94.989365,38.722724,11.896258
42,94.989365,38.33595,10.253273
43,94.989365,37.98317,11.633995
44,94.989365,37.891495,12.714462
45,94.989365,37.250212,12.680608
46,94.989365,38.892008,12.442516
47,94.989365,39.603747,13.258965
48,94.989365,39.603763,15.28092
49,95.023266,37.556994,16.424991
