gen,best,mean,std
0,74.993647,13.077598,24.382002
1,75.102846,18.02899,21.636686
2,93.393647,34.707443,19.589644
3,94.900134,19.199482,23.427017
4,94.900134,26.141597,23.102324
5,94.900134,29.91732,20.514381
6,94.900134,33.81274,16.651361
7,94.900134,35.147897,15.708721
8,94.900134,35.354366,14.80815
9,94.900134,37.622035,12.152905
10,94.900134,38.31399,9.803835
11,94.900134,38.235403,10.52459
12,94.900134,38.525939,9.760625
13,94.900134,39.717264,9.986381
14,94.900134,38.54315,9.421383
15,94.900134,39.012231,7.758893
16,94.900134,39.371794,7.21534
17,94.900134,39.376885,7.217323
18,94.900134,38.471194,8.997767
19,94.900134,38.562314,10.385628
20,94.900134,38.727533,10.073006
21,94.900134,38.64987,8.360154
22,94.900134,39.003561,7.56207
23,94.900134,38.646651,8.353649
24,94.900134,39.277667,7.824719
25,94.900134,39.552373,7.645227
26,94.900134,39.814438,7.887649
27,94.900134,38.100744,11.63317
28,94.900134,38.378481,10.599981
29,94.900134,38.380292,9.962896
30,94.900134,39.275773,8.596298
31,94.900134,37.915645,10.614804
32,94.900134,39.727779,5.545365
33,94.900134,39.733379,5.544526
34,94.900134,39.274355,7.268892
35,94.900134,39.819494,5.599221
36,94.900134,39.901455,5.803805
37,94.900134,39.362008,9.276244
38,94.900134,40.070782,5.763076
39,94.900134,39.170399,8.636426
40,94.900134,39.099965,8.085014
41,94.900134,39.008958,8.036113
42,94.900134,39.358826,7.21444
43,94.900134,39.365344,7.655383
44,94.900134,39.454623,7.711827
45,94.900134,39.889672,5.660094
46,94.900134,39.978642,5.716604
47,94.900134,40.0692,5.7729
48,94.900134,40.147975,5.82451
49,94.900134,40.233525,6.293179
