gen,best,mean,std
0,88.823414,25.759578,32.30431
1,93.189365,17.67198,30.601791
2,93.189365,25.892888,34.228663
3,93.549365,31.365581,34.173165
4,93.549365,41.528596,33.649358
5,93.549365,50.32333,32.095392
6,94.180019,60.55202,26.172756
7,94.180019,66.439323,19.357477
8,94.180019,69.056275,16.159909
9,94.180019,68.882364,16.933321
10,94.180019,69.897897,14.603117
11,94.180019,68.309756,17.786031
12,94.180019,70.621605,15.320881
13,94.180019,69.915924,13.523813
14,94.180019,71.55348,11.879824
15,94.180019,72.629424,9.482562
16,94.180019,72.367097,10.221118
17,94.180019,73.058504,9.697674
18,94.180019,73.33478,8.52404
19,94.180019,73.451121,9.560039
20,94.180019,73.075169,9.783428
21,94.180019,73.547286,9.604383
22,94.180019,74.046158,6.921657
23,94.180019,74.082333,8.53502
24,94.180019,73.565907,9.129303
25,94.180019,74.367913,7.78916
26,94.180019,75.626348,2.860584
27,94.180019,75.945712,3.386073
28,94.180019,75.899435,4.477402
29,94.180019,76.440049,5.343839
30,94.180019,76.980959,6.044859
31,94.180019,76.487116,7.598984
32,94.180019,76.534545,7.560193
33,94.180019,76.389175,8.700809
34,94.180019,75.897134,9.590633
35,94.180019,78.372377,8.923164
36,94.180019,80.484267,7.299988
37,94.180019,80.481146,8.50209
38,94.180019,80.850495,8.273763
39,94.180019,81.460462,7.983724
40,94.180019,81.840818,7.951034
41,94.180019,81.889963,8.186147
42,94.180019,81.500517,8.364979
43,94.180019,80.689764,8.737268
44,94.180019,82.126859,7.965171
45,94.180019,82.345179,7.889746
46,94.180019,83.149022,6.140829
47,94.180019,83.210606,5.918028
48,94.180019,83.641713,5.842734
49,94.180019,83.635515,5.691647
