gen,best,mean,std
0,89.598708,37.086356,31.52687
1,90.074024,26.409953,29.557303
2,90.074024,32.694733,30.16357
3,90.074024,41.188747,27.814362
4,91.106695,47.779319,32.125565
5,91.941683,70.869807,12.506728
6,91.941683,72.937019,12.768565
7,91.946695,76.818449,11.644249
8,91.946695,81.792742,10.055572
9,91.946695,84.08746,9.104198
10,91.946695,86.205999,6.401062
11,92.006695,86.259761,6.056514
12,92.006695,86.605394,5.423713
13,92.006695,86.383912,5.645762
14,92.006695,86.986266,4.912632
15,92.006695,87.115345,4.415806
16,92.006695,87.160883,4.061789
17,92.231732,74.475146,10.759235
18,92.286794,72.084096,10.333846
19,92.286794,74.145048,11.411961
20,92.291732,73.361135,11.048816
21,92.346794,71.954532,10.283329
22,92.346794,72.727075,10.392897
23,92.346794,73.772552,10.724784
24,92.346794,73.439812,10.935257
25,92.346794,73.539469,10.843668
26,92.346794,72.596919,10.632642
27,92.346794,72.6946,10.551028
28,92.346794,71.959604,9.887533
29,92.346794,70.224103,9.035846
30,92.346794,69.33285,7.952692
31,92.346794,68.804144,7.580264
32,92.346794,68.929519,7.589808
33,92.346794,69.595905,7.973143
34,92.346794,69.980245,8.251094
35,92.346794,70.014648,8.318278
36,92.346794,72.56667,9.985128
37,92.346794,71.931406,9.685823
38,92.346794,70.216683,9.285668
39,92.346794,70.167714,9.690034
40,92.346794,69.013106,9.45125
41,92.346794,69.863182,9.362316
42,92.346794,69.499815,8.342985
43,92.346794,68.647684,8.114
44,92.346794,68.377592,7.734056
45,92.346794,68.800754,7.566701
46,92.346794,69.636445,8.633286
47,92.346794,70.438689,8.931131
48,92.346794,69.808046,8.445666
49,92.346794,69.394869,8.384811
