gen,best,mean,std
0,89.368142,0,0
1,90.212892,0,0
2,91.288142,0,0
3,91.288142,0,0
4,91.288142,0,0
5,91.288142,0,0
6,91.288142,0,0
7,91.583414,0,0
8,91.763414,0,0
9,91.763414,0,0
10,91.763414,0,0
11,91.763414,0,0
12,91.763414,0,0
13,91.763414,0,0
14,91.763414,0,0
15,91.763414,0,0
16,91.763414,0,0
17,91.763414,0,0
18,91.763414,0,0
19,91.763414,0,0
20,91.763414,0,0
21,91.763414,0,0
22,91.763414,0,0
23,91.763414,0,0
24,91.876695,0,0
25,91.876695,0,0
26,91.876695,0,0
27,91.876695,0,0
28,91.876695,0,0
29,91.876695,0,0
30,91.876695,0,0
31,91.876695,0,0
32,91.876695,0,0
33,91.876695,0,0
34,91.876695,0,0
35,91.876695,0,0
36,91.876695,0,0
37,91.876695,0,0
38,91.876695,0,0
39,91.876695,0,0
40,91.876695,0,0
41,91.876695,0,0
42,91.876695,0,0
43,91.876695,0,0
44,91.876695,0,0
45,91.876695,0,0
46,91.876695,0,0
47,91.876695,0,0
48,91.876695,0,0
49,91.876695,0,0
