gen,best,mean,std
0,93.189365,37.045917,29.501293
1,93.189365,38.503797,29.24802
2,93.189365,42.288486,27.863468
3,93.549365,30.923584,34.292435
4,93.549365,38.412553,34.701174
5,93.549365,49.241284,32.765611
6,94.180019,42.293918,29.657822
7,94.180019,48.336318,27.651258
8,94.180019,50.089678,27.070451
9,94.180019,59.676911,24.231761
10,94.180019,63.278707,22.786576
11,94.180019,70.807575,14.30556
12,94.180019,72.780634,12.453578
13,94.180019,70.504773,17.077979
14,94.180019,71.16812,14.550326
15,94.180019,71.960171,13.707084
16,94.180019,72.954718,12.022894
17,94.180019,72.974754,13.15757
18,94.180019,73.762329,10.704014
19,94.180019,73.582866,10.827316
20,94.180019,75.058435,3.285248
21,94.180019,74.363229,8.3144
22,94.180019,74.274739,8.449956
23,94.180019,74.095377,8.615213
24,94.180019,74.545187,8.135921
25,94.180019,74.554053,8.545758
26,94.180019,73.501484,11.370727
27,94.180019,73.135989,11.548455
28,94.180019,74.161833,4.90642
29,94.180019,73.47097,9.05965
30,94.180019,74.520878,4.463808
31,94.180019,73.647104,8.951405
32,94.180019,73.647307,8.860769
33,94.180019,73.646525,8.860621
34,94.180019,73.317086,11.511117
35,94.180019,74.612363,4.386685
36,94.180019,74.462228,8.231163
37,94.180019,74.281829,8.404843
38,94.180019,75.15299,3.161978
39,94.180019,73.757857,10.74375
40,94.180019,73.734029,9.410093
41,94.180019,74.275647,7.7906
42,94.180019,74.545741,7.451055
43,94.180019,73.764314,10.704267
44,94.180019,74.641675,8.049228
45,94.180019,74.134289,11.321537
46,94.180019,72.375286,15.110641
47,94.180019,73.954128,11.373279
48,94.180019,74.635521,7.405517
49,94.180019,74.635118,7.40548
