gen,best,mean,std
0,86.972892,27.734719,36.232518
1,90.031733,7.926368,30.178345
2,90.448142,23.278565,38.401902
3,94.209365,21.321662,31.025626
4,94.209365,25.335055,31.910825
5,94.209365,39.061927,33.236028
6,94.209365,50.734216,29.269141
7,94.209365,57.123243,24.581797
8,94.209365,63.839351,20.105663
9,94.509365,70.607428,10.149718
10,94.509365,71.396501,9.730033
11,94.509365,72.74097,9.658365
12,94.509365,74.253196,3.933429
13,94.509365,74.185632,5.485031
14,94.509365,74.135369,8.538013
15,94.509365,74.1401,8.538614
16,94.509365,74.141131,8.538622
17,94.509365,74.053143,9.029746
18,94.509365,75.29001,2.289382
19,94.509365,75.570124,2.843073
20,94.509365,75.658041,2.693047
21,94.509365,75.206333,2.451365
22,94.509365,75.288785,2.289424
23,94.509365,75.375458,2.112046
24,94.509365,75.565412,2.819353
25,94.509365,74.767624,7.233292
26,94.509365,74.676504,7.279444
27,94.509365,74.680216,7.279777
28,94.509365,75.375755,2.131664
29,94.509365,75.373745,2.131632
30,94.509365,75.46581,1.91395
31,94.509365,75.46581,1.913951
32,94.509365,75.465515,1.913979
33,94.509365,75.464655,1.914092
34,94.509365,75.376846,2.112443
35,94.509365,75.465744,1.913957
36,94.509365,75.377894,2.111864
37,94.509365,75.377762,2.11187
38,94.509365,74.764643,7.253586
39,94.509365,74.764513,7.253577
40,94.509365,75.465582,1.913973
41,94.509365,75.3776,2.111878
42,94.509365,75.289597,2.62049
43,94.509365,75.377796,2.111868
44,94.509365,74.933653,4.225408
45,94.509365,75.290084,2.298046
46,94.509365,74.568944,7.524993
47,94.509365,74.482775,7.564743
48,94.509365,73.868909,10.211877
49,94.509365,74.657863,7.478794
