gen,best,mean,std
0,87.618253,11.492537,25.006891
1,90.866695,16.999286,35.227524
2,91.303266,21.360814,35.401314
3,92.796393,27.339183,34.381178
4,94.089365,61.513801,22.169272
5,94.089365,62.333788,25.757973
6,94.089365,64.432926,24.306261
7,94.089365,68.555867,20.858645
8,94.089365,70.360141,17.932654
9,94.089365,67.114701,24.168308
10,94.089365,68.694885,22.053135
11,94.089365,68.958289,21.585793
12,94.089365,73.058067,14.109124
13,94.089365,72.008792,16.615219
14,94.089365,71.809938,16.310652
15,94.089365,74.608841,8.086056
16,94.089365,73.649599,11.237248
17,94.089365,74.429585,8.17285
18,94.089365,73.735821,11.216901
19,94.089365,73.04205,13.560222
20,94.089365,74.756981,8.238262
21,94.089365,74.445176,8.316092
22,94.089365,73.6677,11.28659
23,94.089365,73.54615,11.268176
24,94.089365,75.208613,2.477241
25,94.089365,70.848572,17.932823
26,94.089365,72.864883,13.565843
27,94.089365,72.867613,13.564653
28,94.089365,73.46063,11.287734
29,94.089365,73.83112,11.423104
30,94.089365,73.047013,13.536121
31,94.089365,71.985279,15.51609
32,94.089365,72.176137,15.499717
33,94.089365,71.990716,15.517359
34,94.089365,72.587981,13.586527
35,94.089365,73.463084,11.26283
36,94.089365,74.252697,8.262414
37,94.089365,73.188568,11.357436
38,94.089365,73.882577,8.719903
39,94.089365,71.847166,13.719871
40,94.089365,73.079357,11.374407
41,94.089365,74.550068,3.410154
42,94.089365,72.919698,11.486814
43,94.089365,74.489001,3.816477
44,94.089365,74.679113,3.623952
45,94.089365,73.056857,9.945672
46,94.089365,73.561618,6.530128
47,94.089365,74.283882,3.704946
48,94.089365,73.684808,8.44171
49,94.089365,73.09513,11.319654
