gen,best,mean,std
0,89.003414,60.24228,18.409425
1,89.896695,51.996691,29.136913
2,90.212892,61.509661,24.299789
3,91.288142,68.931012,12.908351
4,91.288142,71.803543,15.594144
5,91.288142,74.641355,13.78146
6,91.288142,79.357242,11.346713
7,91.288142,81.511664,10.073128
8,91.583414,72.503376,6.423119
9,91.763414,74.120623,6.026666
10,91.763414,74.655549,5.985909
11,91.763414,75.198078,5.815581
12,91.763414,74.19986,5.628735
13,91.763414,73.191017,6.192796
14,91.763414,73.900122,6.078318
15,91.763414,73.596663,6.164325
16,91.763414,74.32945,5.781178
17,91.763414,73.869025,5.764095
18,91.763414,74.006573,4.913514
19,91.763414,74.143213,4.884994
20,91.763414,74.130911,4.497625
21,91.763414,74.336037,4.431823
22,91.763414,74.961027,4.05501
23,91.763414,75.461136,3.850463
24,91.763414,75.479313,4.125132
25,91.876695,78.696719,7.338109
26,91.876695,79.945025,6.893564
27,91.876695,80.92107,5.98445
28,91.876695,82.825493,4.316144
29,91.876695,82.932076,4.643473
30,91.876695,83.516338,4.57698
31,91.876695,83.926835,3.656071
32,91.876695,83.989893,3.766396
33,91.876695,83.975613,3.761851
34,91.876695,84.159406,3.302755
35,91.876695,84.175213,3.322214
36,91.876695,84.076571,3.853454
37,91.876695,83.920636,4.431565
38,91.876695,84.366269,3.268232
39,91.876695,84.262018,3.17125
40,91.876695,84.070877,3.657502
41,91.876695,83.737187,4.478504
42,91.876695,83.722829,4.457523
43,91.876695,83.672647,4.741122
44,91.876695,83.621153,4.528644
45,91.876695,83.51753,4.759787
46,91.876695,83.732631,4.445697
47,91.876695,83.71685,4.616962
48,91.876695,83.987432,3.961024
49,91.876695,84.366793,3.043914
