gen,best,mean,std
0,92.656695,51.764659,31.877021
1,92.656695,50.012171,33.393314
2,93.092828,25.32932,32.97683
3,93.392828,33.964015,33.724148
4,93.392828,29.975795,29.753486
5,93.392828,37.873364,32.033735
6,93.392828,40.057626,31.702654
7,93.392828,42.796728,29.424483
8,93.392828,38.18459,28.703224
9,93.392828,43.004946,27.905056
10,93.392828,38.599035,28.620014
11,93.392828,37.47059,24.798102
12,93.392828,35.958949,23.548644
13,93.392828,36.731999,22.945846
14,93.392828,37.596632,24.250281
15,93.392828,37.345263,23.233709
16,93.392828,39.496475,24.785357
17,93.392828,41.008199,25.567851
18,93.392828,42.173595,26.179769
19,93.392828,41.29964,25.855414
20,93.392828,35.368483,20.101151
21,93.392828,36.714108,21.708822
22,93.392828,38.265643,22.683
23,93.392828,38.478168,21.020997
24,93.392828,39.988231,21.130784
25,93.392828,42.067204,23.61043
26,93.392828,39.335879,20.97483
27,93.392828,38.075121,19.884444
28,93.392828,37.436701,19.265941
29,93.392828,34.370925,18.483452
30,93.392828,34.856877,16.785972
31,93.392828,36.205597,17.5556
32,93.392828,37.851519,18.945708
33,93.392828,40.052647,20.983333
34,93.392828,39.160463,20.783957
35,93.392828,38.207184,19.650306
36,93.392828,34.404166,16.627396
37,93.392828,33.453838,12.489033
38,93.392828,32.867034,12.013619
39,93.392828,32.339967,10.051109
40,93.392828,32.0713,11.07551
41,93.392828,34.325043,15.239094
42,93.392828,34.817817,15.792054
43,93.392828,34.831852,16.938134
44,93.392828,35.428822,17.829142
45,93.392828,36.728497,19.069578
46,93.392828,38.151401,20.938192
47,93.392828,37.981349,22.142503
48,93.392828,36.970601,20.69535
49,93.392828,35.773704,19.122647
