gen,best,mean,std
0,91.228142,45.165655,40.734858
1,91.228142,50.764594,39.672193
2,91.491655,59.624204,37.407524
3,92.609013,48.491379,36.638103
4,92.609013,57.46667,35.407959
5,92.609013,61.623436,34.265116
6,92.609013,67.34208,32.771646
7,92.609013,73.240363,29.637752
8,92.609013,75.437363,28.256661
9,92.609013,74.230378,28.952052
10,92.609013,70.356364,32.141276
11,92.609013,69.988892,32.810316
12,92.609013,73.705382,30.13879
13,92.609013,75.607095,28.277453
14,92.609013,75.393818,28.282542
15,92.609013,81.732396,20.622605
16,92.609013,82.752142,18.259521
17,92.609013,83.327781,16.626093
18,92.609013,85.077374,12.431756
19,92.612751,84.213083,14.791992
20,92.612751,84.151976,15.173109
21,92.612751,85.556533,11.731084
22,92.612751,83.401184,16.243591
23,92.612751,81.160789,20.878072
24,92.612751,79.709238,23.180868
25,92.612751,76.78602,25.976318
26,92.612751,72.970805,29.547176
27,92.612751,73.114985,27.787081
28,92.612751,74.00567,26.828064
29,92.612751,74.156458,27.775469
30,92.612751,73.23488,29.266096
31,92.612751,72.834158,30.134134
32,92.612751,76.522944,27.892928
33,92.612751,79.75818,25.587973
34,92.612751,85.458408,17.633951
35,92.612751,87.291491,15.719336
36,92.612751,88.010057,14.944855
37,92.788142,17.642503,18.056527
38,92.788142,16.756974,15.519731
39,92.908142,22.090022,23.277825
40,92.908142,23.583135,24.120893
41,92.908142,27.336302,26.234144
42,92.908142,31.509425,29.45532
43,92.908142,42.637603,34.056858
44,92.908142,51.888643,35.427401
45,92.908142,57.770681,34.869608
46,92.908142,64.158782,33.990359
47,92.908142,74.130517,27.434578
48,92.908142,78.356543,23.332968
49,92.908142,80.995625,20.129914
