gen,best,mean,std
0,-5.187386,-5.321359,0.019689
1,92.552828,44.343548,34.509556
2,92.612828,54.909057,34.079959
3,92.612828,59.975526,32.611658
4,92.612828,65.17641,30.998728
5,92.612828,70.199122,27.735303
6,92.612828,75.270025,24.678036
7,92.612828,72.044878,28.151425
8,92.612828,72.111875,27.543699
9,92.612828,74.748067,25.044115
10,92.612828,76.790138,24.753384
11,92.612828,79.499771,21.142873
12,92.612828,77.325027,23.790221
13,92.612828,79.523409,20.912371
14,92.612828,80.509942,19.678909
15,92.612828,82.142599,18.265127
16,92.612828,84.499476,14.882884
17,92.612828,87.229193,9.542045
18,92.612828,88.324222,6.850849
19,92.612828,89.053526,0.972831
20,92.612828,89.077638,0.950246
21,92.612828,87.969959,8.370204
22,92.612828,89.179224,0.838767
23,92.612828,89.225478,0.782382
24,92.612828,89.289018,0.598635
25,92.612828,89.241949,0.677602
26,92.612828,89.195695,0.743019
27,92.612828,88.746146,5.014669
28,92.612828,88.268878,7.032597
29,92.612828,89.102344,0.853514
30,92.612828,89.125471,0.828777
31,92.612828,89.211643,0.931104
32,92.612828,88.194779,7.188728
33,92.612828,88.287286,7.188383
34,92.612828,87.573683,9.193969
35,92.612828,87.806082,8.945719
36,92.612828,86.854001,11.649855
37,92.612828,87.946674,8.950809
38,92.612828,89.241105,0.680263
39,92.612828,88.853932,4.12235
40,92.612828,88.763691,5.011179
41,92.612828,88.786818,5.008589
42,92.612828,88.616122,5.917136
43,92.612828,88.038475,7.809162
44,92.612828,88.63476,5.22336
45,92.612828,86.027158,12.693377
46,92.612828,87.277451,9.818939
47,92.612828,88.619117,5.196699
48,92.612828,89.287359,0.604669
49,92.612828,89.236992,0.779992
